Id,Label,timeset,latitude,longitude,lonlat
3553,,,40.61025308080012,-88.56647430818344,"(-88.56647430818344, 40.61025308080012)"
1,,,40.41248894853774,-96.51624099291217,"(-96.51624099291217, 40.41248894853774)"
3586,,,33.33742770702559,-102.15384053909304,"(-102.15384053909304, 33.33742770702559)"
3587,,,42.43504659353397,-120.52554816706719,"(-120.52554816706719, 42.43504659353397)"
3637,,,35.581332891185085,-98.61197159151314,"(-98.61197159151314, 35.581332891185085)"
3583,,,42.924228470174114,-103.03454451386696,"(-103.03454451386696, 42.924228470174114)"
2,,,39.931184268905795,-119.81928878159721,"(-119.81928878159721, 39.931184268905795)"
4930,,,26.53372329492692,-99.00377766515678,"(-99.00377766515678, 26.53372329492692)"
3,,,34.8025719051594,-113.69891342015339,"(-113.69891342015339, 34.8025719051594)"
88,,,48.99541739644704,-115.86417997979831,"(-115.86417997979831, 48.99541739644704)"
4,,,41.039071130927034,-88.28443352514768,"(-88.28443352514768, 41.039071130927034)"
13,,,46.8482929266891,-103.38590543440125,"(-103.38590543440125, 46.8482929266891)"
5,,,42.984162573714656,-93.6681654162951,"(-93.6681654162951, 42.984162573714656)"
120,,,43.3590682073405,-104.2760506561431,"(-104.2760506561431, 43.3590682073405)"
8,,,43.93613621647616,-109.25726769050658,"(-109.25726769050658, 43.93613621647616)"
6,,,36.776203776750556,-93.71270179943684,"(-93.71270179943684, 36.776203776750556)"
7,,,39.588993145286224,-79.40414028552506,"(-79.40414028552506, 39.588993145286224)"
9,,,32.344461769941354,-81.75941261236159,"(-81.75941261236159, 32.344461769941354)"
10,,,37.5906414576751,-96.70391796139616,"(-96.70391796139616, 37.5906414576751)"
61,,,45.96978293887372,-102.70340994913418,"(-102.70340994913418, 45.96978293887372)"
75,,,42.649136485311054,-116.15530107717173,"(-116.15530107717173, 42.649136485311054)"
205,,,38.045699962074664,-117.39184637982353,"(-117.39184637982353, 38.045699962074664)"
208,,,46.284878463512,-69.68498851295439,"(-69.68498851295439, 46.284878463512)"
50,,,48.83414766319739,-109.29036100729697,"(-109.29036100729697, 48.83414766319739)"
94,,,32.83982583591832,-104.82907151639101,"(-104.82907151639101, 32.83982583591832)"
11,,,40.1335611778483,-100.25808993984748,"(-100.25808993984748, 40.1335611778483)"
125,,,32.7838138163155,-82.27394482650043,"(-82.27394482650043, 32.7838138163155)"
12,,,43.20551831001378,-100.92220148940675,"(-100.92220148940675, 43.20551831001378)"
14,,,33.19850838512016,-114.26635301969087,"(-114.26635301969087, 33.19850838512016)"
15,,,32.54642780737638,-80.5494357698156,"(-80.5494357698156, 32.54642780737638)"
83,,,39.28656538404336,-99.60982656703597,"(-99.60982656703597, 39.28656538404336)"
16,,,32.3111709317524,-81.33758887157802,"(-81.33758887157802, 32.3111709317524)"
17,,,33.52746280318403,-80.10183502504259,"(-80.10183502504259, 33.52746280318403)"
29,,,44.19007573148175,-102.79161361764079,"(-102.79161361764079, 44.19007573148175)"
147,,,41.22952614990993,-106.24759092518599,"(-106.24759092518599, 41.22952614990993)"
19,,,34.738402367977244,-91.57818767337287,"(-91.57818767337287, 34.738402367977244)"
18,,,46.16421639457671,-120.29607339766912,"(-120.29607339766912, 46.16421639457671)"
190,,,35.781913542544906,-113.39058747416912,"(-113.39058747416912, 35.781913542544906)"
20,,,42.199617505972554,-114.15304551159754,"(-114.15304551159754, 42.199617505972554)"
130,,,46.677596361433444,-123.83074839360413,"(-123.83074839360413, 46.677596361433444)"
